Fecha,La Paz,Cochabamba,Santa Cruz,Oruro,Potosi,Tarija,Chuquisaca,Beni,Pando
6/20/2020,1469,2302,13539,459,407,206,196,3473,425
6/19/2020,1469,2302,13539,459,407,206,196,3473,425
6/18/2020,1386,2179,12988,443,378,191,185,3326,409
6/17/2020,1298,2041,12725,420,378,175,134,3128,386
6/16/2020,1254,1915,12366,400,361,149,129,2994,315
6/15/2020,1213,1878,11741,389,343,123,117,2962,307
6/14/2020,1149,1723,11424,378,331,112,102,2954,286
6/13/2020,1064,1537,11154,369,295,112,100,2944,267
6/12/2020,983,1441,10536,358,274,87,85,2927,238
6/11/2020,932,1369,10127,334,268,77,74,2809,175
6/10/2020,842,1297,9594,305,205,69,61,2778,130
6/9/2020,804,1231,9224,288,200,68,43,2692,94
6/8/2020,754,1097,8676,260,183,58,39,2511,65
6/7/2020,754,1097,8676,260,183,58,39,2511,65
6/6/2020,737,1022,8556,256,171,58,39,2472,47
6/5/2020,692,960,8144,247,147,49,38,2428,23
6/4/2020,661,898,7952,238,119,44,32,2278,23
6/3/2020,635,851,7637,222,98,40,31,2101,23
6/2/2020,614,786,7235,218,93,37,29,1965,14
6/1/2020,555,714,7018,210,70,37,28,1885,14
5/31/2020,507,611,6711,204,68,32,26,1809,14
5/30/2020,478,556,6542,190,48,32,25,1707,14
5/29/2020,444,488,5946,166,48,24,25,1576,14
5/28/2020,423,419,5774,159,46,22,25,1506,13
5/27/2020,415,376,5366,155,44,19,25,1355,13
5/26/2020,410,345,4888,153,44,19,22,1242,13
5/25/2020,403,339,4527,151,44,19,22,1142,13
5/24/2020,394,329,4199,150,42,18,21,1097,13
5/23/2020,386,295,3900,145,41,18,21,1097,12
5/22/2020,381,285,3665,143,41,18,19,1015,12
5/21/2020,375,266,3414,141,41,17,19,902,12
5/20/2020,363,259,3241,138,40,14,19,833,12
5/19/2020,355,246,2982,138,39,13,17,679,12
5/18/2020,342,228,2894,137,39,13,17,581,12
5/17/2020,335,224,2763,135,38,13,17,551,12
5/16/2020,333,214,2518,133,36,13,16,551,12
5/15/2020,328,196,2297,132,36,13,15,548,12
5/14/2020,322,170,2163,132,36,13,15,509,12
5/13/2020,319,148,2041,128,36,13,15,436,12
5/12/2020,316,130,1925,128,36,13,15,389,12
5/11/2020,313,109,1823,124,36,10,15,389,12
5/10/2020,309,104,1633,124,35,10,15,314,12
5/9/2020,301,95,1537,121,35,10,14,312,12
5/8/2020,294,90,1387,116,35,9,11,312,12
5/7/2020,271,82,1318,115,35,6,11,231,12
5/6/2020,260,82,1160,113,35,6,6,212,12
5/5/2020,253,82,1083,113,35,6,6,212,12
5/4/2020,243,82,979,111,33,4,5,212,12
5/3/2020,241,81,904,111,26,3,4,212,12
5/2/2020,236,81,806,111,26,3,4,191,12
5/1/2020,221,80,693,107,26,3,4,83,12
4/30/2020,218,80,656,102,26,3,3,67,12
4/29/2020,202,80,615,102,26,3,3,67,12
4/28/2020,188,79,587,92,26,3,3,63,12
4/27/2020,185,78,553,92,26,3,3,62,12
4/26/2020,168,78,525,79,26,3,2,57,12
4/25/2020,159,71,489,65,26,3,2,39,12
4/24/2020,155,70,446,65,21,3,2,33,12
4/23/2020,150,66,385,62,21,3,2,2,12
4/22/2020,140,63,371,59,21,3,1,2,12
4/21/2020,137,62,324,49,19,3,1,2,12
4/20/2020,134,61,317,49,19,3,1,2,12
4/19/2020,133,61,290,45,19,3,1,0,12
4/18/2020,126,60,255,45,18,3,1,0,12
4/17/2020,120,60,237,42,18,3,1,0,12
4/16/2020,120,59,218,38,16,2,1,0,11
4/15/2020,101,59,215,37,15,2,1,0,11
4/14/2020,91,57,190,30,15,2,1,0,11
4/13/2020,80,54,177,14,15,2,1,0,11
4/12/2020,73,52,163,13,15,2,1,0,11
4/11/2020,65,49,147,11,15,1,1,0,11
4/10/2020,59,48,134,9,13,1,1,0,10
4/9/2020,57,48,130,8,13,1,1,0,10
4/8/2020,57,47,127,8,13,1,1,0,10
4/7/2020,39,38,103,8,10,1,1,0,10
4/6/2020,37,33,100,8,8,1,1,0,6
4/5/2020,32,33,97,8,5,1,1,0,6
4/4/2020,23,25,88,8,5,1,1,0,6
4/3/2020,20,24,74,8,5,1,1,0,6
4/2/2020,19,22,70,8,5,1,1,0,6
4/1/2020,16,21,68,8,4,1,1,0,4
3/31/2020,16,20,64,8,4,1,1,0,1
3/30/2020,14,20,59,8,3,1,1,0,1
3/29/2020,13,18,52,8,3,0,1,0,1
3/28/2020,10,14,44,8,3,0,1,0,1
3/27/2020,8,14,42,8,1,0,1,0,0
3/26/2020,8,10,34,8,1,0,0,0,0
3/25/2020,4,3,24,8,0,0,0,0,0
3/24/2020,3,3,18,8,0,0,0,0,0
3/23/2020,1,3,16,8,0,0,0,0,0
3/22/2020,1,3,15,8,0,0,0,0,0
3/21/2020,1,2,9,8,0,0,0,0,0
